group,period_end,value
Georgia,9/28/20,35.3
Hawaii,9/28/20,33.3
Idaho,9/28/20,33.2
Illinois,9/28/20,36.3
Indiana,9/28/20,36.6
Iowa,9/28/20,34.2
Kansas,9/28/20,35.2
Kentucky,9/28/20,39.8
Louisiana,9/28/20,44.5
Maine,9/28/20,33.5
Maryland,9/28/20,35.3
Massachusetts,9/28/20,38.4
Michigan,9/28/20,33.2
Minnesota,9/28/20,30.5
Mississippi,9/28/20,38
Missouri,9/28/20,33.8
Montana,9/28/20,38.2
Nebraska,9/28/20,30.8
Nevada,9/28/20,42.8
New Hampshire,9/28/20,32.2
New Jersey,9/28/20,38.3
New Mexico,9/28/20,43.2
New York,9/28/20,36.2
North Carolina,9/28/20,32.6
North Dakota,9/28/20,27.7
Ohio,9/28/20,36.5
Oklahoma,9/28/20,34.5
Oregon,9/28/20,47.6
Pennsylvania,9/28/20,34.6
Rhode Island,9/28/20,38.3
South Carolina,9/28/20,35.3
South Dakota,9/28/20,27.3
Tennessee,9/28/20,35.6
Texas,9/28/20,39.5
Utah,9/28/20,38.5
Vermont,9/28/20,36.6
Virginia,9/28/20,36.5
Washington,9/28/20,39.9
West Virginia,9/28/20,39.2
Wisconsin,9/28/20,30.8
Wyoming,9/28/20,33.2
Alabama,10/12/20,33.6
Alaska,10/12/20,37.4
Arizona,10/12/20,37.8
Arkansas,10/12/20,42.3
California,10/12/20,42.4
Colorado,10/12/20,37.5
Connecticut,10/12/20,34.6
Delaware,10/12/20,39
District of Columbia,10/12/20,37.1
Florida,10/12/20,37.8
Georgia,10/12/20,34.7
Hawaii,10/12/20,40.2
Idaho,10/12/20,33.3
Illinois,10/12/20,36.6
Indiana,10/12/20,34.3
Iowa,10/12/20,29.6
Kansas,10/12/20,36.2
Kentucky,10/12/20,42.8
Louisiana,10/12/20,41.5
Maine,10/12/20,36.3
Maryland,10/12/20,36.9
Massachusetts,10/12/20,37.6
Michigan,10/12/20,37
Minnesota,10/12/20,30.7
Mississippi,10/12/20,35.1
Missouri,10/12/20,36.4
Montana,10/12/20,32.8
Nebraska,10/12/20,32.5
Nevada,10/12/20,43.3
New Hampshire,10/12/20,31.4
New Jersey,10/12/20,39.1
New Mexico,10/12/20,41.1
New York,10/12/20,35.2
North Carolina,10/12/20,35.8
North Dakota,10/12/20,27.8
Ohio,10/12/20,38.5
Oklahoma,10/12/20,38.1
Oregon,10/12/20,39
Pennsylvania,10/12/20,37.7
Rhode Island,10/12/20,35.1
