group,period_end,value
West Virginia,7/14/20,29.4
Wisconsin,7/14/20,24.6
Wyoming,7/14/20,21.7
Alabama,7/21/20,32.7
Alaska,7/21/20,27.4
Arizona,7/21/20,34.3
Arkansas,7/21/20,33.7
California,7/21/20,31.2
Colorado,7/21/20,29.1
Connecticut,7/21/20,25.9
Delaware,7/21/20,26.5
District of Columbia,7/21/20,23.8
Florida,7/21/20,30.7
Georgia,7/21/20,29.7
Hawaii,7/21/20,29.3
Idaho,7/21/20,34.2
Illinois,7/21/20,29.5
Indiana,7/21/20,32
Iowa,7/21/20,25.3
Kansas,7/21/20,30.5
Kentucky,7/21/20,30.6
Louisiana,7/21/20,31.7
Maine,7/21/20,25.3
Maryland,7/21/20,29.5
Massachusetts,7/21/20,23.7
Michigan,7/21/20,28.6
Minnesota,7/21/20,24.2
Mississippi,7/21/20,36.5
Missouri,7/21/20,24.8
Montana,7/21/20,28.4
Nebraska,7/21/20,25.2
Nevada,7/21/20,38.6
New Hampshire,7/21/20,28.8
New Jersey,7/21/20,26.8
New Mexico,7/21/20,37.6
New York,7/21/20,29.3
North Carolina,7/21/20,30.5
North Dakota,7/21/20,26.8
Ohio,7/21/20,24.9
Oklahoma,7/21/20,33.5
Oregon,7/21/20,36.4
Pennsylvania,7/21/20,20.5
Rhode Island,7/21/20,25.9
South Carolina,7/21/20,32.3
South Dakota,7/21/20,27.6
Tennessee,7/21/20,33.7
Texas,7/21/20,32.4
Utah,7/21/20,28.5
Vermont,7/21/20,21.4
Virginia,7/21/20,27
Washington,7/21/20,32.2
West Virginia,7/21/20,28
Wisconsin,7/21/20,23.9
Wyoming,7/21/20,31.6
Alabama,8/31/20,27.7
Alaska,8/31/20,22.2
Arizona,8/31/20,26.4
Arkansas,8/31/20,23.9
California,8/31/20,25.9
Colorado,8/31/20,24.5
Connecticut,8/31/20,23.8
Delaware,8/31/20,20.1
District of Columbia,8/31/20,23.8
Florida,8/31/20,27.8
Georgia,8/31/20,26.8
Hawaii,8/31/20,22.8
Idaho,8/31/20,22.8
Illinois,8/31/20,23.5
Indiana,8/31/20,25.4
Iowa,8/31/20,20
Kansas,8/31/20,24.3
Kentucky,8/31/20,27.9
Louisiana,8/31/20,26.9
Maine,8/31/20,23.8
Maryland,8/31/20,21.3
Massachusetts,8/31/20,22.3
Michigan,8/31/20,24.1
Minnesota,8/31/20,18.3
Mississippi,8/31/20,23.6
Missouri,8/31/20,23.7
Montana,8/31/20,18.6
Nebraska,8/31/20,20.9
Nevada,8/31/20,26.9
New Hampshire,8/31/20,19.8
New Jersey,8/31/20,24.7
New Mexico,8/31/20,27.8
New York,8/31/20,22.5
North Carolina,8/31/20,20.5
North Dakota,8/31/20,17.8
Ohio,8/31/20,24.9
Oklahoma,8/31/20,25.9
Oregon,8/31/20,26.1
Pennsylvania,8/31/20,23.8
Rhode Island,8/31/20,19.2
South Carolina,8/31/20,20.4
South Dakota,8/31/20,15.2
Tennessee,8/31/20,28.3
Texas,8/31/20,25.7
Utah,8/31/20,22.7
Vermont,8/31/20,19.5
Virginia,8/31/20,25.1
Washington,8/31/20,23.6
West Virginia,8/31/20,25.2
Wisconsin,8/31/20,20.2
Wyoming,8/31/20,21.9
Alabama,9/14/20,25.2
Alaska,9/14/20,23.6
Arizona,9/14/20,26.5
Arkansas,9/14/20,29.8
California,9/14/20,27.6
Colorado,9/14/20,22.7
Connecticut,9/14/20,21.2
Delaware,9/14/20,23.3
District of Columbia,9/14/20,20.9
