group,period_end,value
Kansas,11/9/20,40.4
Kentucky,11/9/20,37.6
Louisiana,11/9/20,37.6
Maine,11/9/20,40.5
Maryland,11/9/20,35.7
Massachusetts,11/9/20,37.6
Michigan,11/9/20,31.1
Minnesota,11/9/20,33.6
Mississippi,11/9/20,37.8
Missouri,11/9/20,35.5
Montana,11/9/20,36.6
Nebraska,11/9/20,33
Nevada,11/9/20,39.9
New Hampshire,11/9/20,36
New Jersey,11/9/20,33.5
New Mexico,11/9/20,40.1
New York,11/9/20,33
North Carolina,11/9/20,36
North Dakota,11/9/20,22.3
Ohio,11/9/20,37.1
Oklahoma,11/9/20,40
Oregon,11/9/20,38.4
Pennsylvania,11/9/20,36.1
Rhode Island,11/9/20,38.6
South Carolina,11/9/20,37.3
South Dakota,11/9/20,28.6
Tennessee,11/9/20,32.5
Texas,11/9/20,37.2
Utah,11/9/20,33
Vermont,11/9/20,37.3
Virginia,11/9/20,30.5
Washington,11/9/20,34.7
West Virginia,11/9/20,35.7
Wisconsin,11/9/20,36
