group,period_end,value
West Virginia,4/26/21,7.3
Wisconsin,4/26/21,8.4
Wyoming,4/26/21,6
Alabama,5/10/21,9.6
Alaska,5/10/21,9.7
Arizona,5/10/21,8
Arkansas,5/10/21,6.6
California,5/10/21,10.2
Colorado,5/10/21,13
Connecticut,5/10/21,12.6
Delaware,5/10/21,11.2
District of Columbia,5/10/21,15.4
Florida,5/10/21,6.5
Georgia,5/10/21,9.8
Hawaii,5/10/21,8.7
Idaho,5/10/21,10.5
Illinois,5/10/21,10.4
Indiana,5/10/21,8.9
Iowa,5/10/21,9.4
Kansas,5/10/21,9.3
Kentucky,5/10/21,11.4
Louisiana,5/10/21,12.6
Maine,5/10/21,13.3
Maryland,5/10/21,11.7
Massachusetts,5/10/21,15.9
Michigan,5/10/21,11.7
Minnesota,5/10/21,11
Mississippi,5/10/21,6.5
Missouri,5/10/21,9.3
Montana,5/10/21,9
Nebraska,5/10/21,10.7
Nevada,5/10/21,7.7
New Hampshire,5/10/21,8.3
New Jersey,5/10/21,9
New Mexico,5/10/21,8.6
New York,5/10/21,13.9
North Carolina,5/10/21,9.2
North Dakota,5/10/21,6
Ohio,5/10/21,12.1
Oklahoma,5/10/21,11.4
Oregon,5/10/21,13.5
Pennsylvania,5/10/21,11.9
Rhode Island,5/10/21,12.9
South Carolina,5/10/21,9.5
South Dakota,5/10/21,9.8
Tennessee,5/10/21,7.9
Texas,5/10/21,6.9
Utah,5/10/21,9.3
Vermont,5/10/21,12.8
Virginia,5/10/21,11.7
Washington,5/10/21,13.2
West Virginia,5/10/21,8.5
Wisconsin,5/10/21,10.2
Wyoming,5/10/21,8.9
Alabama,5/24/21,7.7
Alaska,5/24/21,12.8
Arizona,5/24/21,7.3
Arkansas,5/24/21,8.6
California,5/24/21,10.6
Colorado,5/24/21,11
Connecticut,5/24/21,14.9
Delaware,5/24/21,10.2
District of Columbia,5/24/21,16.4
Florida,5/24/21,7.2
Georgia,5/24/21,9.2
Hawaii,5/24/21,7.3
Idaho,5/24/21,10.6
Illinois,5/24/21,12.6
Indiana,5/24/21,10.2
Iowa,5/24/21,10.4
Kansas,5/24/21,9.4
